2025-06-10 07:27:55,368 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0006s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:28:13,275 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0006s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:28:28,273 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0005s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:28:43,274 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0005s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:29:01,234 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0005s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:29:16,240 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0007s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:29:34,177 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0005s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:29:49,175 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0006s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:30:07,128 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0005s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:30:22,128 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0005s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:30:40,062 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0006s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:30:55,061 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0006s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:31:12,984 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0005s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:31:27,984 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0008s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:31:45,954 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0006s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:32:00,955 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0005s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:32:18,882 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0007s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:32:33,883 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0006s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:32:48,882 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0007s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:33:06,814 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0008s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:33:21,813 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0005s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:33:39,723 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0007s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:33:54,722 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0005s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:34:12,714 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0012s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:34:27,713 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0007s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:34:45,638 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.001s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:35:00,638 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0007s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:35:18,564 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0007s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:35:33,565 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0005s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:35:51,502 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0006s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:36:06,503 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0006s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:36:21,502 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0007s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:36:39,407 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0005s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:36:54,407 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0005s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:37:12,364 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0006s | User-Agent: Prometheus/3.4.1 | User: -
